mu1,mu2,mu3,mu4,mu5,mu6,mu7,mu8,mu9,mu10,max1,max2,max3,max4,max5,max6,mu7,max8,max9,max10,med1,med2,med3,med4,med5,med6,med7,med8,med9,med10,grad1,grad2,grad3,grad4,grad5,grad6,grad7,grad8,grad9,grad10,label
278.7747070529434,43.989713994816704,0.07602369492772275,232.57383237689754,72.83764809329874,57.16920770085175,4.6080766382821094,519.7305576638281,479.8917484265086,473.6067063124767,1310.98375,175.59249999999997,5.464999999999918,1683.54625,1013.8625,666.0300000000002,20.539999999999992,2415.36125,1795.7375,2276.46375,108.4837500000001,21.342499999999973,-0.1600000000000818,33.7962500000001,-1.8875000000000453,2.5300000000002,2.414999999999992,168.48624999999993,257.36249999999995,186.0887499999999,19.0,1.4375,0.125,63.8125,27.0625,18.5,0.4375,107.37499999999994,56.1875,105.31250000000006,A
224.53934144761195,21.197599500185063,-0.3045908922621705,197.7800175860793,40.784901888189545,33.67142169566849,1.6982284339133573,537.7081622547204,358.12911467974834,370.97237597186233,1001.01125,87.34124999999995,3.1749999999999545,1454.2025,569.645,393.8850000000002,10.789999999999992,2325.49625,1459.61375,1986.5125,92.13625000000002,10.091249999999944,-0.0750000000000454,22.4525000000001,-4.355000000000018,-0.8649999999997817,0.664999999999992,215.74624999999992,162.98874999999998,112.88750000000005,10.0,0.625,0.06250000000000022,38.5,11.1875,8.375,0.25,63.81250000000006,29.3125,65.5625,A
247.56744400222135,29.502648556090282,2.9937786930766017,195.0534066086635,56.1585542391708,46.55654202147333,4.758264994446491,513.2724338208071,368.08775684931504,409.8515790447982,1100.79125,114.77874999999996,6.196249999999964,1453.50125,687.7550000000001,467.4699999999998,12.82374999999999,2209.21875,1457.03125,1992.49,101.91625,15.028749999999944,2.571249999999964,20.001250000000027,-1.2449999999998909,2.3449999999998,3.8237499999999898,201.34375,176.53125,156.865,12.0,0.8125,0.125,41.125,13.5625,10.125,0.25,68.375,32.1875,71.875,A
323.45139300259166,76.38814790818219,3.6975689559422076,294.35973250647913,105.37663457978526,76.85237689744538,9.373920307293604,615.302400499815,538.6942257497224,545.5511343021102,1498.3375,297.51250000000005,8.008749999999964,1823.7625,1283.79,834.145,29.95875000000001,2542.40875,1884.10375,2373.61375,124.71250000000008,39.012500000000045,3.008749999999964,73.01250000000005,5.039999999999964,7.019999999999982,6.208750000000009,241.65875000000003,310.85375,232.73875,27.4375,2.375,0.1875,84.0625,41.625,27.1875,0.625,143.3125,71.0,126.125,A
253.4568229359497,29.082663828211754,3.6288990188818957,216.47422436134778,57.839751943724615,51.09688309885236,3.42993706034801,527.4283242317659,386.8607043687524,439.7182728619031,1107.00375,111.77499999999998,6.90625,1514.63,655.2950000000001,463.3062500000001,14.634999999999993,2303.52875,1529.0125,2096.6800000000003,108.75375000000008,14.774999999999975,3.03125,34.25500000000011,2.6700000000000728,7.931250000000091,2.134999999999991,203.27874999999997,186.01250000000005,171.05500000000006,11.25,0.8125,0.1875,41.5,12.5625,9.6875,0.3125,66.5,31.9375,72.25,A
261.5986224577732,35.422917959324366,0.6848302309549523,227.28026370217177,63.68942218200627,51.04429765598084,3.4662026025508585,547.9349409686315,401.53417873147185,432.9363486728715,1272.60375,156.635,6.317500000000109,1644.92,818.5137500000001,553.3825000000002,17.703750000000014,2463.13875,1655.6525,2211.8475,93.60375,15.259999999999993,0.3175000000001091,30.295000000000076,-0.9862499999999272,1.2575000000001637,1.4537500000000136,194.26375000000007,180.65249999999992,140.84750000000008,15.0625,1.125,0.125,53.0625,17.625,12.8125,0.375,87.56250000000006,40.8125,91.8125,A
195.56673129955192,17.366355997931787,0.8548155808341313,163.2439981902791,31.328625473974462,28.45498017924857,2.486976042743882,483.05798043778003,299.5960207687005,311.659506204757,896.3375000000001,75.29875000000004,4.694999999999936,1356.96375,474.0925,344.14750000000004,10.3425,2235.57625,1343.55625,1890.3525,77.58750000000009,7.798750000000041,0.4449999999999363,8.96374999999989,-5.282500000000027,-1.3524999999999636,1.3425000000000011,182.70125000000007,118.80625000000008,72.35249999999996,8.25,0.5000000000000009,0.12500000000000003,31.8125,8.75,6.5625,0.2500000000000002,52.24999999999994,24.1875,57.5625,A
266.0569277835229,34.15191658048952,2.616711047914412,239.9503533264391,66.90054377800753,54.97865434332995,6.571973026542561,563.7340735953119,403.697281971734,438.48536496035854,1234.2725,142.96000000000004,5.4537499999999,1621.85,779.9775,528.5762500000001,16.66874999999999,2444.6725,1626.815,2195.29375,105.77250000000004,15.460000000000036,2.4537499999999,54.34999999999991,9.727499999999964,12.951250000000073,5.793749999999989,221.2974999999999,189.94000000000003,157.16875000000005,14.75,1.0,0.125,51.4375,16.8125,12.125,0.375,84.5625,40.375,90.5625,A
291.26803343674607,57.340799724232994,1.0412905032747877,270.74906799379534,83.21276973457417,63.106396932092174,7.9559315753188535,575.7164964667356,467.8659190796277,497.1533958117891,1441.69,253.41,6.783750000000055,1764.17125,1073.62,703.5324999999998,25.1575,2508.80625,1759.15625,2317.3762500000003,100.31500000000004,24.784999999999968,0.1587500000000545,57.9212500000001,-1.1300000000001091,1.7824999999998,5.657499999999999,207.4312500000001,242.65625,190.50125000000003,21.25,1.8125,0.25,68.1875,26.25,18.375,0.4375,113.62500000000006,56.0625,119.5,A
253.8104360565323,36.171478369527755,-0.01100267149263416,207.83376120303342,64.81581997587031,50.691291795932436,4.211793347121676,533.6178102378491,370.57618192002747,421.9712133746984,1274.7,170.08375,5.0812499999999545,1615.86625,849.0687499999999,564.1875,19.037499999999994,2428.2675,1598.00375,2189.49,83.32500000000005,13.833750000000007,-0.1687500000000454,13.241250000000036,-2.056250000000091,0.6875,2.1624999999999943,180.64249999999996,151.62874999999983,127.365,16.25,1.1875,0.125,55.8125,19.8125,14.0625,0.43750000000000044,93.87499999999994,43.25,95.375,A
206.50322604274402,21.5132928300586,4.492138917614551,173.67328076525337,45.51549551878674,39.7376296966563,1.9783919338159235,485.9350034470871,311.90006851085843,346.75814288176485,1018.10875,96.5625,5.694999999999936,1436.6875,580.3275000000001,403.11375,11.314999999999998,2301.82,1426.34875,2001.4975,71.2337500000001,8.9375,4.819999999999936,8.1875,0.3275000000001,3.988749999999982,0.6899999999999977,167.69499999999994,118.59875000000012,89.49749999999995,10.375,0.6875,0.24999999999999997,38.3125,11.625,8.4375,0.3125,63.62500000000006,29.4375,67.625,A
240.49489864864876,22.74726166234727,1.1424551092188169,194.72034431691972,42.90770316549423,35.47343669011483,2.902195945945957,559.3055678452423,369.36674194742676,381.73754998148826,1027.72125,90.97875,4.271250000000009,1451.65,583.33125,404.37750000000005,10.706250000000011,2344.46375,1480.445,1992.2475,106.22125000000004,10.978749999999993,0.7712500000000091,19.65000000000009,-5.2937500000000455,-1.3724999999999454,1.8312500000000116,237.9637499999999,173.94499999999994,124.62249999999996,10.125,0.6875,0.25,36.75,11.25,8.25,0.2500000000000002,62.18749999999994,28.875,64.3125,A
257.7321268528094,36.610186142709395,3.437329800068851,223.11787788693542,66.10754007238894,52.42368622888659,2.605557997242326,546.3756833850396,395.0193243709064,441.86665891072045,1283.275,161.27499999999998,6.318749999999909,1658.33875,850.7237500000001,565.11375,17.473749999999995,2484.6075,1663.81,2240.3025,89.77500000000009,15.899999999999975,3.193749999999909,30.08874999999989,1.5987500000001091,3.613749999999982,0.7237499999999955,193.85750000000007,175.43499999999997,151.9275,16.25,1.1875,0.125,55.1875,19.0625,13.4375,0.375,89.25000000000006,43.75,96.625,A
331.66552697345736,78.64694889693212,5.299735005170631,328.7599538952085,108.15521328852128,80.829602292313,9.935772147535344,633.5753123922785,545.8167989486385,545.0406588245432,1546.81875,343.79875000000004,8.90625,1840.75125,1201.77375,782.42625,31.55000000000001,2595.98125,1846.65875,2372.07625,124.44374999999992,34.42375000000004,5.15625,99.25125000000004,8.023750000000064,10.926249999999982,6.925000000000011,244.85625000000005,322.53375000000005,220.70125000000007,25.875,2.375,0.125,79.5,33.6875,22.437499999999986,0.5000000000000002,134.0625,67.3125,131.43749999999994,A
255.88576309893153,32.373152361254725,2.2359875904859483,215.4128554808686,65.8335173216133,51.124150293002266,4.005699327817991,557.0118420372286,386.68803128231644,426.34581739055494,1252.22375,149.39,4.849999999999909,1611.94375,824.53375,534.2849999999999,17.283749999999998,2497.22875,1625.72875,2196.71625,91.09875000000012,12.389999999999986,2.099999999999909,25.81874999999991,2.7837500000000546,5.284999999999855,2.1587499999999977,200.97875,169.10375,137.09124999999997,15.5625,1.125,0.125,52.1875,18.0,12.3125,0.375,88.5,41.0625,88.75,A
231.5903077563866,24.77915262865609,2.188877730470251,197.3899736208811,49.567609218807824,39.89136801184749,2.866581358756006,463.1302244539059,387.2944955572009,398.3424273417253,1018.67125,94.99125000000004,7.408750000000055,1469.81875,664.6125,453.835,12.51124999999999,2211.48625,1520.1825,2022.77125,96.5462500000001,12.491250000000036,1.5337500000000546,22.69374999999991,-4.1375000000000455,-0.7899999999999636,1.6362499999999898,145.73624999999993,189.9324999999999,143.27125,11.0,0.75,0.125,41.4375,13.8125,10.0,0.3125,67.0,33.5,73.4375,A
241.2119204584626,27.230888486728716,2.4096027231988333,219.71458290244755,56.20681876938991,44.56907273354026,3.8916231471906197,553.6599513098931,392.5000728197175,408.08952688728016,1150.78125,119.0575,4.507499999999936,1554.13,721.48125,470.2550000000001,14.348749999999995,2457.64375,1579.83625,2140.3425,92.90625,11.807500000000005,2.2574999999999363,45.50500000000011,4.1062500000000455,7.005000000000109,2.7237499999999955,216.51874999999995,188.3362500000001,138.34249999999997,13.25,0.875,0.125,46.125,14.75,10.25,0.3125000000000002,77.25,36.5,78.125,A
248.74136763185112,28.00037013098933,1.9423896932091835,213.97092511203024,55.977705101689075,42.5494346776972,3.9453425542916225,571.3398759048603,390.18865434333003,440.2275538607377,1151.2075,119.44875000000002,3.247499999999945,1538.40375,704.9475,443.2849999999999,10.31375,2444.98,1577.91125,2156.75875,99.20749999999998,13.198750000000018,1.8724999999999452,36.028749999999945,0.1974999999999909,1.9099999999998545,3.188749999999999,233.355,182.9112500000001,165.25874999999996,12.6875,0.875,0.06250000000000003,44.9375,14.25,9.5625,0.5625,75.5,35.0625,77.4375,A
262.29936918304037,36.505574370906565,2.52456006549463,227.9322862805929,68.94622414684584,93.40565451568429,15.001434419165799,567.4842390554979,404.7665787659428,452.06071527059635,1262.22,156.42125,4.998749999999973,1619.1875,842.1212499999999,585.92875,29.661249999999995,2475.5275,1647.345,2215.01,96.09500000000004,16.546249999999986,2.3737499999999727,35.6875,2.871249999999918,47.55375000000004,13.411249999999995,212.02749999999992,184.34500000000003,160.01,15.625,1.125,0.25,53.1875,19.125,13.3125,0.5,89.99999999999994,42.75,94.0625,A
293.7198534987936,52.76025206825236,5.838174336435757,254.07529860392978,84.52089925887633,61.9948793519476,8.09174681144433,587.7790985866943,458.42653179937963,490.99526197862826,1385.67,222.99125000000004,8.293750000000045,1691.06625,1010.62875,639.02,22.9075,2511.29,1737.99375,2279.88,111.04500000000009,24.61625000000004,5.9187500000000455,47.06625000000008,3.128750000000082,6.394999999999982,6.532499999999999,217.29,233.9937500000001,182.7550000000001,19.875,1.5625,0.1875,64.0625,25.1875,17.0,0.4375,111.25,54.5625,113.62499999999994,A
232.98547828335052,28.59234014133054,8.626656325405095,192.6352998965875,56.42504093416068,43.449885384350054,5.087690020682511,518.6626796794208,347.6421242674937,377.8913577214753,1106.7475,118.50374999999995,12.930000000000064,1475.005,688.16875,440.74249999999984,14.888749999999987,2360.30875,1517.5524999999998,2065.45375,86.37249999999995,13.753749999999968,9.305000000000064,16.50500000000011,2.543750000000045,4.742499999999836,3.888749999999988,179.30874999999992,138.42749999999978,100.7037499999999,12.25,0.875,0.06250000000000022,43.4375,14.875,10.125,0.375,75.00000000000006,35.75,80.9375,A
239.6378391072044,28.789421320234442,0.9397539641502293,210.4759781109962,60.816446053085144,46.34295803171307,3.93938167873148,536.5875822992072,373.10230782488804,412.96864486384,1145.74625,126.98625000000004,2.6012499999999363,1529.0625,738.51,469.5462499999999,13.896250000000007,2398.82625,1571.92,2129.66375,88.24624999999992,12.48625000000004,0.7262499999999363,29.4375,2.634999999999991,5.421249999999873,2.646250000000009,191.70125000000007,159.54500000000007,130.91374999999994,12.9375,0.875,0.18750000000000003,47.1875,16.3125,11.1875,0.375,79.5,37.125,84.375,A
210.2430248056276,20.054156330988523,0.3068081266197977,143.68891938171046,45.21512865605332,34.981470288782006,2.2919034616808647,444.557294520548,317.48663041466125,323.9310727508331,1030.16,93.77625,4.188750000000027,1420.14625,611.4375,418.2012500000001,11.306250000000006,2244.0025,1443.63875,1953.7025,67.16000000000008,6.9012500000000045,-0.0612499999999727,-31.22874999999999,-6.6875,-5.298749999999927,0.8062500000000057,109.50250000000004,113.76375000000009,54.7025000000001,10.6875,0.6875,0.06250000000000011,40.25,13.4375,9.5625,0.25,65.75,30.5625,68.8125,A
273.0015845982969,31.82512310255464,0.8060685857090785,223.8500583117363,61.52273093298778,48.828898556090344,3.9958714365049937,560.7733547760088,464.7282386153277,451.58164105886726,1183.405,123.53250000000004,4.816250000000082,1602.7575,832.14625,544.855,14.973749999999995,2416.83125,1706.8475,2186.5125,120.40499999999996,16.157500000000027,0.6912500000000819,28.882499999999936,-1.603749999999991,2.105000000000018,2.4737499999999955,216.08124999999995,230.59750000000008,172.88750000000005,14.5,1.0,0.125,53.375,20.125,13.875,0.375,88.9375,45.125,89.5625,A
