time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1942.75,773.5,1417,1657,1793.125,2455.25,233.375,1307,1966.25,1539.75,37.36,38.89
0.1,1942.875,773.375,1417.125,1657.375,1793.125,2455.25,233.125,1307.375,1966.375,1540,37.41,38.89
0.2,1942.875,773.375,1417.125,1657.75,1793.125,2455.25,233.25,1307.625,1966.5,1540.25,37.38,38.85
0.3,1943,773.375,1417.125,1658.125,1793.125,2455.125,233.125,1308,1966.625,1540.375,37.38,38.88
0.4,1943.125,773.375,1417,1658.5,1793.125,2455.125,233.25,1308.375,1966.75,1540.75,37.4,38.91
0.5,1943.25,773.375,1417.125,1658.875,1793.125,2455,233.25,1308.625,1967,1540.875,37.41,38.89
0.6,1943.25,773.5,1417,1659.25,1793.125,2455,233.25,1308.875,1967.125,1541.125,37.38,38.88
0.7,1943.375,773.375,1417.125,1659.625,1793,2454.875,233.25,1309.25,1967.25,1541.25,37.38,38.95
0.8,1943.375,773.5,1417.125,1659.875,1793.125,2454.75,233.375,1309.5,1967.375,1541.375,37.4,38.88
0.9,1943.5,773.5,1417.125,1660.25,1793,2454.875,233.375,1309.75,1967.5,1541.625,37.41,38.87
1.0,1943.625,773.5,1417.125,1660.5,1793,2454.75,233.25,1310,1967.625,1541.75,37.4,38.86
1.1,1943.625,773.5,1417.125,1660.875,1793,2454.625,233.375,1310.375,1967.75,1542,37.41,38.93
1.2,1943.75,773.625,1417.125,1661.125,1793,2454.5,233.375,1310.5,1967.875,1542.125,37.38,38.91
1.3,1943.75,773.5,1417.125,1661.5,1792.875,2454.5,233.25,1310.75,1968,1542.25,37.41,38.87
1.4,1943.875,773.625,1417.125,1661.75,1792.875,2454.375,233.25,1311,1968.125,1542.375,37.4,38.89
1.5,1944,773.625,1417.125,1662,1792.875,2454.25,233.375,1311.25,1968.25,1542.5,37.41,38.88
1.6,1944,773.625,1417.125,1662.25,1792.75,2454.25,233.375,1311.5,1968.375,1542.625,37.44,38.88
1.7,1944.125,773.625,1417.125,1662.625,1792.75,2454.125,233.25,1311.75,1968.375,1542.75,37.41,38.88
1.8,1944.125,773.625,1417.25,1662.875,1792.625,2454,233.25,1311.875,1968.5,1542.875,37.41,38.85
1.9,1944.25,773.625,1417.25,1663.125,1792.5,2454,233.25,1312.125,1968.625,1543,37.43,38.88
2.0,1944.375,773.625,1417.125,1663.375,1792.5,2453.875,233.25,1312.375,1968.625,1543,37.44,38.91
2.1,1944.375,773.75,1417.125,1663.625,1792.5,2453.875,233.25,1312.5,1968.75,1543.125,37.41,38.87
2.2,1944.5,773.75,1417.125,1663.75,1792.375,2453.75,233.25,1312.75,1968.875,1543.25,37.4,38.82
2.3,1944.5,773.75,1417.125,1664.125,1792.25,2453.625,233.25,1312.875,1969,1543.375,37.41,38.82
2.4,1944.625,773.75,1417.125,1664.25,1792.25,2453.5,233.375,1313.125,1969,1543.375,37.41,38.82
2.5,1944.75,773.75,1417.125,1664.5,1792.125,2453.5,233.25,1313.25,1969,1543.5,37.43,38.82
2.6,1944.75,773.875,1417.25,1664.75,1792,2453.375,233.25,1313.375,1969.125,1543.625,37.41,38.85
2.7,1944.75,773.75,1417.125,1665,1792,2453.25,233.25,1313.5,1969.25,1543.625,37.41,38.84
2.8,1944.875,773.875,1417.125,1665.125,1791.875,2453.125,233.25,1313.75,1969.375,1543.625,37.43,38.85
2.9,1944.875,773.875,1417.25,1665.375,1791.875,2453.125,233.25,1313.875,1969.375,1543.75,37.43,38.81
3.0,1945,773.75,1417.25,1665.5,1791.75,2453,233.375,1314,1969.375,1543.75,37.43,38.79
3.1,1945,773.875,1417.25,1665.75,1791.625,2452.875,233.375,1314.25,1969.5,1543.875,37.41,38.84
3.2,1945.125,773.875,1417.25,1665.875,1791.5,2452.75,233.375,1314.375,1969.5,1543.875,37.43,38.81
3.3,1945.125,773.875,1417.25,1666.125,1791.5,2452.625,233.375,1314.375,1969.625,1543.875,37.43,38.78
3.4,1945.25,773.875,1417.25,1666.25,1791.375,2452.5,233.375,1314.625,1969.625,1543.875,37.4,38.79
3.5,1945.25,774,1417.25,1666.375,1791.25,2452.5,233.375,1314.625,1969.75,1543.875,37.44,38.77
3.6,1945.25,774,1417.25,1666.5,1791.25,2452.375,233.25,1314.75,1969.625,1543.875,37.41,38.75
3.7,1945.375,774,1417.25,1666.625,1791.125,2452.25,233.375,1314.875,1969.75,1543.875,37.41,38.76
3.8,1945.5,774,1417.25,1666.875,1791,2452.25,233.375,1315,1969.75,1543.875,37.43,38.72
3.9,1945.5,774.125,1417.25,1667,1790.875,2452,233.375,1315.125,1969.75,1543.875,37.43,38.75
4.0,1945.625,774.125,1417.25,1667.125,1790.75,2452,233.25,1315.25,1969.75,1543.875,37.41,38.67
4.1,1945.625,774.125,1417.25,1667.25,1790.75,2451.875,233.25,1315.25,1969.875,1543.875,37.45,38.69
4.2,1945.75,774.125,1417.25,1667.375,1790.625,2451.75,233.375,1315.375,1969.875,1543.875,37.43,38.73
4.3,1945.75,774.25,1417.25,1667.375,1790.5,2451.625,233.375,1315.375,1969.875,1543.75,37.41,38.69
4.4,1945.75,774.25,1417.25,1667.5,1790.375,2451.5,233.375,1315.5,1969.875,1543.875,37.43,38.66
4.5,1945.875,774.25,1417.25,1667.625,1790.25,2451.5,233.375,1315.625,1969.875,1543.75,37.43,38.67
4.6,1946,774.375,1417.25,1667.75,1790.25,2451.375,233.25,1315.625,1969.875,1543.75,37.41,38.64
4.7,1946,774.375,1417.25,1667.75,1790.125,2451.25,233.25,1315.75,1969.875,1543.625,37.41,38.64
4.8,1946,774.375,1417.25,1667.875,1790,2451.125,233.375,1315.75,1969.875,1543.625,37.44,38.63
4.9,1946.125,774.375,1417.25,1668,1789.875,2451,233.25,1315.75,1969.875,1543.625,37.43,38.62
5.0,1946,774.5,1417.25,1668.125,1789.75,2450.875,233.25,1315.875,1969.875,1543.5,37.41,38.61
5.1,1946.125,774.375,1417.375,1668.125,1789.75,2450.75,233.25,1315.875,1969.875,1543.5,37.43,38.62
