time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,2028,791.75,1490.75,1738.75,1841.875,2501.75,261.75,1374.75,2035.25,1595.875,37.86,42.47
0.1,2028,791.75,1490.75,1739.25,1842,2501.875,261.625,1375.125,2035.375,1596.125,37.85,42.46
0.2,2028.125,791.75,1490.75,1739.5,1842,2501.875,261.625,1375.5,2035.625,1596.5,37.86,42.51
0.3,2028.125,791.75,1490.875,1739.875,1842.125,2501.875,261.75,1375.875,2035.75,1596.75,37.88,42.47
0.4,2028.25,791.75,1490.75,1740.25,1842.125,2501.875,262,1376.125,2036,1597,37.85,42.48
0.5,2028.25,791.75,1490.875,1740.625,1842.25,2501.875,261.625,1376.5,2036.25,1597.375,37.89,42.5
0.6,2028.375,791.875,1490.875,1741,1842.25,2501.875,261.75,1376.875,2036.5,1597.75,37.86,42.47
0.7,2028.5,791.75,1490.875,1741.375,1842.375,2501.875,261.625,1377.25,2036.625,1598,37.85,42.5
0.8,2028.5,791.875,1490.875,1741.75,1842.375,2501.875,261.625,1377.625,2036.875,1598.25,37.88,42.48
0.9,2028.625,791.875,1490.875,1742.125,1842.375,2501.875,261.75,1378,2037.125,1598.625,37.85,42.5
1.0,2028.625,791.875,1490.875,1742.375,1842.5,2501.875,261.75,1378.375,2037.375,1598.875,37.89,42.53
1.1,2028.75,791.875,1490.875,1742.75,1842.5,2501.875,261.75,1378.625,2037.5,1599.25,37.88,42.51
1.2,2028.875,791.875,1490.875,1743.125,1842.625,2501.875,261.625,1379,2037.75,1599.5,37.86,42.53
1.3,2028.875,791.875,1490.875,1743.5,1842.625,2501.875,261.875,1379.375,2038,1599.75,37.86,42.51
1.4,2028.875,791.875,1490.875,1743.875,1842.625,2501.875,261.75,1379.625,2038.25,1600,37.88,42.45
1.5,2029,791.875,1490.875,1744.125,1842.625,2501.875,261.875,1380,2038.375,1600.25,37.86,42.5
1.6,2029.125,791.875,1490.875,1744.5,1842.75,2501.875,262.125,1380.375,2038.625,1600.5,37.88,42.47
1.7,2029.125,792,1490.875,1744.875,1842.75,2501.875,261.875,1380.625,2038.75,1600.75,37.86,42.47
1.8,2029.25,791.875,1490.875,1745.25,1842.75,2501.875,261.75,1381,2039,1601,37.85,42.45
1.9,2029.25,792,1490.875,1745.5,1842.75,2501.875,262,1381.375,2039.25,1601.375,37.88,42.45
2.0,2029.375,792,1490.875,1745.875,1842.75,2501.875,261.75,1381.625,2039.375,1601.625,37.86,42.45
2.1,2029.375,792,1491,1746.25,1842.75,2501.875,261.625,1382,2039.625,1601.875,37.88,42.48
2.2,2029.5,792,1491,1746.5,1842.75,2501.875,261.625,1382.375,2039.75,1602,37.88,42.44
2.3,2029.625,792,1491,1746.875,1842.875,2501.875,261.75,1382.625,2040,1602.375,37.86,42.5
2.4,2029.625,792.125,1491,1747.25,1842.75,2501.875,261.75,1382.875,2040.125,1602.625,37.88,42.48
2.5,2029.75,792.125,1491,1747.625,1842.875,2501.75,261.75,1383.25,2040.375,1602.875,37.86,42.5
2.6,2029.75,792,1491,1747.875,1842.875,2501.75,261.625,1383.5,2040.5,1603.125,37.88,42.45
2.7,2029.75,792,1491,1748.25,1842.875,2501.75,261.75,1383.875,2040.75,1603.25,37.86,42.42
2.8,2029.875,792.125,1491,1748.625,1842.875,2501.75,261.875,1384.25,2040.875,1603.5,37.85,42.43
2.9,2029.875,792,1491.125,1748.875,1842.875,2501.75,262,1384.5,2041,1603.75,37.89,42.46
3.0,2030,792.125,1491,1749.25,1842.875,2501.75,261.75,1384.75,2041.25,1603.875,37.88,42.47
3.1,2030,792.125,1491.125,1749.5,1843,2501.75,261.625,1385.125,2041.375,1604.125,37.86,42.44
3.2,2030.125,792.125,1491.125,1749.875,1842.875,2501.75,261.75,1385.375,2041.625,1604.375,37.88,42.51
3.3,2030.125,792.125,1491.125,1750.125,1842.875,2501.625,261.875,1385.625,2041.75,1604.625,37.86,42.42
3.4,2030.25,792.125,1491,1750.375,1842.875,2501.625,262,1385.875,2041.875,1604.75,37.88,42.42
3.5,2030.25,792.25,1491.125,1750.75,1842.875,2501.625,261.75,1386.25,2042,1605,37.88,42.51
