time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1963.625,769.25,1418,1686.75,1789.375,2453.5,230.375,1413.75,1989.375,1586.75,37.17,39.18
0.1,1963.75,769.25,1418,1687,1789.375,2453.625,230.375,1414.125,1989.625,1587,37.19,39.14
0.2,1963.75,769.125,1418,1687.25,1789.625,2453.75,230.375,1414.5,1989.75,1587.375,37.2,39.17
0.3,1963.875,769.125,1418,1687.375,1789.75,2453.875,230.375,1414.75,1990,1587.625,37.19,39.18
0.4,1963.875,769.125,1418.125,1687.625,1789.875,2454,230.5,1415.125,1990.125,1587.875,37.19,39.24
0.5,1964,769.125,1418,1687.875,1790,2454.125,230.5,1415.375,1990.375,1588.25,37.2,39.21
0.6,1964,769.125,1418,1688.125,1790.125,2454.25,230.375,1415.75,1990.5,1588.625,37.2,39.23
0.7,1964.125,769.125,1418,1688.375,1790.375,2454.375,230.5,1416,1990.625,1588.875,37.19,39.24
0.8,1964.125,769.125,1418.125,1688.625,1790.375,2454.5,230.5,1416.375,1990.875,1589.125,37.22,39.23
0.9,1964.25,769.125,1418.125,1688.75,1790.5,2454.625,230.5,1416.625,1991,1589.375,37.2,39.29
1.0,1964.25,769.125,1418,1689,1790.75,2454.75,230.5,1417,1991.125,1589.75,37.2,39.29
1.1,1964.375,769.125,1418.125,1689.25,1790.875,2454.875,230.375,1417.25,1991.25,1590.125,37.2,39.27
1.2,1964.375,769.125,1418.125,1689.5,1790.875,2454.875,230.5,1417.625,1991.5,1590.25,37.19,39.28
1.3,1964.375,769,1418,1689.75,1791,2454.875,230.375,1418,1991.625,1590.5,37.2,39.29
1.4,1964.5,769,1418,1689.875,1791.125,2455,230.5,1418.25,1991.75,1590.75,37.22,39.25
1.5,1964.5,769,1418.125,1690.25,1791.25,2455.125,230.5,1418.5,1991.875,1591,37.2,39.33
1.6,1964.625,769,1418,1690.375,1791.25,2455.125,230.375,1418.75,1992.125,1591.25,37.22,39.31
1.7,1964.625,769,1418.125,1690.75,1791.375,2455.125,230.5,1419.125,1992.25,1591.625,37.22,39.29
1.8,1964.625,769,1418.125,1690.875,1791.375,2455.25,230.375,1419.5,1992.375,1591.75,37.2,39.32
1.9,1964.75,769,1418.125,1691.125,1791.5,2455.25,230.375,1419.75,1992.5,1592,37.23,39.29
2.0,1964.75,769.125,1418.125,1691.375,1791.625,2455.25,230.375,1420,1992.625,1592.25,37.23,39.35
2.1,1964.875,769,1418.125,1691.625,1791.75,2455.375,230.375,1420.375,1992.875,1592.5,37.22,39.33
2.2,1964.875,769,1418.25,1691.875,1791.75,2455.375,230.5,1420.625,1993,1592.75,37.22,39.38
2.3,1965,769,1418.25,1692.125,1791.875,2455.375,230.5,1420.875,1993.125,1592.875,37.24,39.34
2.4,1965.125,769,1418.25,1692.375,1791.875,2455.375,230.5,1421.125,1993.25,1593.125,37.23,39.32
2.5,1965.125,769,1418.25,1692.5,1792,2455.375,230.5,1421.5,1993.375,1593.375,37.23,39.38
2.6,1965.125,769,1418.25,1692.75,1792,2455.375,230.5,1421.75,1993.5,1593.625,37.2,39.36
2.7,1965.125,768.875,1418.25,1692.875,1792,2455.375,230.5,1422,1993.625,1593.75,37.22,39.39
2.8,1965.25,769,1418.25,1693.125,1792.125,2455.375,230.375,1422.25,1993.75,1594,37.23,39.37
2.9,1965.25,769,1418.25,1693.375,1792.125,2455.375,230.375,1422.5,1993.875,1594.125,37.22,39.36
3.0,1965.375,769,1418.25,1693.625,1792.125,2455.375,230.375,1422.75,1993.875,1594.375,37.22,39.42
3.1,1965.375,769,1418.25,1693.75,1792.125,2455.375,230.375,1423,1994.125,1594.5,37.22,39.35
3.2,1965.5,769,1418.25,1694,1792.25,2455.375,230.375,1423.25,1994.25,1594.625,37.22,39.41
3.3,1965.5,768.875,1418.25,1694.125,1792.25,2455.375,230.5,1423.5,1994.25,1594.875,37.23,39.38
3.4,1965.5,768.875,1418.25,1694.375,1792.25,2455.25,230.5,1423.625,1994.375,1595,37.2,39.39
3.5,1965.625,768.875,1418.25,1694.5,1792.25,2455.25,230.5,1423.875,1994.5,1595.125,37.22,39.38
3.6,1965.625,768.875,1418.25,1694.625,1792.25,2455.25,230.375,1424.125,1994.625,1595.25,37.23,39.38
3.7,1965.75,769,1418.25,1694.875,1792.25,2455.25,230.5,1424.375,1994.75,1595.375,37.23,39.41
3.8,1965.75,769,1418.25,1695,1792.25,2455.125,230.5,1424.625,1994.875,1595.5,37.24,39.41
3.9,1965.875,768.875,1418.125,1695.125,1792.25,2455.125,230.5,1424.875,1994.875,1595.625,37.23,39.39
4.0,1965.875,769,1418.125,1695.375,1792.25,2455.125,230.5,1425,1995,1595.75,37.23,39.42
4.1,1965.875,769,1418.25,1695.5,1792.125,2455,230.375,1425.25,1995.125,1595.875,37.23,39.38
4.2,1965.875,769,1418.25,1695.75,1792.25,2455,230.5,1425.375,1995.125,1596,37.23,39.39
4.3,1966,769,1418.25,1695.875,1792.25,2455,230.5,1425.625,1995.25,1596,37.22,39.41
4.4,1966,769,1418.25,1696,1792.125,2454.875,230.375,1425.75,1995.25,1596.125,37.22,39.41
4.5,1966,769,1418.375,1696.125,1792.125,2454.75,230.375,1425.875,1995.375,1596.25,37.23,39.38
4.6,1966.125,769,1418.25,1696.25,1792.125,2454.75,230.375,1426.125,1995.5,1596.25,37.22,39.41
4.7,1966.125,769,1418.375,1696.5,1792.125,2454.625,230.5,1426.25,1995.625,1596.375,37.2,39.38
4.8,1966.25,769,1418.25,1696.5,1792,2454.625,230.5,1426.5,1995.5,1596.5,37.24,39.43
4.9,1966.25,769,1418.25,1696.625,1792,2454.5,230.5,1426.625,1995.625,1596.5,37.23,39.39
5.0,1966.25,769,1418.25,1696.875,1792,2454.5,230.5,1426.75,1995.75,1596.5,37.23,39.41
5.1,1966.375,769,1418.25,1697,1791.875,2454.5,230.375,1427,1995.75,1596.625,37.23,39.37
5.2,1966.375,769,1418.375,1697,1791.875,2454.375,230.25,1427.125,1995.75,1596.625,37.23,39.39
5.3,1966.375,769.125,1418.375,1697.125,1791.875,2454.25,230.375,1427.25,1995.875,1596.625,37.23,39.38
5.4,1966.5,769.125,1418.375,1697.25,1791.75,2454.125,230.375,1427.375,1995.875,1596.625,37.22,39.35
