time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1945.875,774,1416.875,1639.625,1788.5,2451.5,232.625,1311.125,1972.125,1533.875,37.38,38.72
0.1,1945.875,773.875,1417,1639.875,1788.625,2451.625,232.625,1311.375,1972.375,1534.125,37.38,38.73
0.2,1946,774,1417,1640.25,1788.75,2451.75,232.875,1311.75,1972.5,1534.375,37.4,38.77
0.3,1946,774,1417,1640.5,1788.875,2451.75,233,1311.875,1972.625,1534.625,37.37,38.74
0.4,1946.125,774,1417,1640.875,1788.875,2451.75,232.875,1312.25,1972.875,1534.875,37.38,38.73
0.5,1946.125,774,1417,1641.125,1788.875,2451.75,232.875,1312.5,1973,1535.25,37.4,38.7
0.6,1946.125,774,1417,1641.5,1789,2451.875,232.875,1312.75,1973.25,1535.375,37.41,38.73
0.7,1946.25,774,1417.125,1641.875,1789.125,2451.75,232.75,1313,1973.375,1535.625,37.4,38.77
0.8,1946.25,774,1417,1642.125,1789,2451.875,232.75,1313.25,1973.625,1536,37.41,38.73
0.9,1946.375,774,1417,1642.5,1789.125,2451.875,232.875,1313.5,1973.75,1536.25,37.4,38.74
1.0,1946.375,774,1417,1642.75,1789.25,2451.875,232.75,1313.875,1973.875,1536.5,37.4,38.76
1.1,1946.5,773.875,1417,1643.125,1789.25,2451.875,232.75,1314.125,1974.125,1536.75,37.4,38.76
1.2,1946.5,774,1417.125,1643.375,1789.25,2451.875,232.875,1314.5,1974.25,1537.125,37.38,38.77
1.3,1946.5,773.875,1417.125,1643.75,1789.25,2452,232.75,1314.625,1974.375,1537.375,37.38,38.76
1.4,1946.625,774,1417.125,1644,1789.375,2451.875,232.625,1315,1974.625,1537.625,37.41,38.75
1.5,1946.625,774,1417.125,1644.375,1789.375,2451.875,232.75,1315.25,1974.75,1537.75,37.41,38.76
1.6,1946.75,774,1417.125,1644.75,1789.375,2451.875,232.75,1315.5,1975,1538,37.43,38.76
1.7,1946.75,774.125,1417.125,1645,1789.5,2451.875,232.75,1315.875,1975.125,1538.25,37.41,38.76
1.8,1946.875,774.125,1417.125,1645.25,1789.5,2451.875,232.75,1316.125,1975.25,1538.5,37.41,38.76
1.9,1946.875,774.125,1417.125,1645.625,1789.5,2451.875,232.75,1316.375,1975.5,1538.75,37.41,38.76
2.0,1946.875,774.125,1417.125,1645.875,1789.375,2451.75,232.75,1316.625,1975.625,1539,37.43,38.76
