time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1976.5,750.5,1407.625,1684.25,1780.375,2441.875,246.5,1468.375,1932.125,1521.625,36.44,41.42
0.1,1976.5,750.5,1407.625,1684.375,1780.25,2441.875,246.625,1468.5,1932.25,1521.875,36.45,41.39
0.2,1976.625,750.5,1407.625,1684.625,1780.375,2441.875,246.5,1468.75,1932.375,1522,36.47,41.38
0.3,1976.5,750.5,1407.625,1684.75,1780.375,2442,246.375,1468.875,1932.5,1522.125,36.47,41.43
0.4,1976.625,750.5,1407.625,1685,1780.375,2442,246.375,1469,1932.5,1522.25,36.45,41.39
0.5,1976.625,750.5,1407.625,1685.125,1780.375,2442,246.375,1469.25,1932.75,1522.5,36.48,41.44
0.6,1976.75,750.5,1407.625,1685.375,1780.375,2442,246.375,1469.5,1932.75,1522.625,36.47,41.45
0.7,1976.75,750.5,1407.625,1685.5,1780.375,2442,246.25,1469.5,1932.875,1522.875,36.48,41.41
0.8,1976.75,750.5,1407.625,1685.625,1780.375,2442,246.375,1469.75,1933.125,1523,36.48,41.41
0.9,1976.875,750.5,1407.625,1685.875,1780.5,2442,246.375,1469.875,1933.25,1523.125,36.5,41.4
1.0,1976.875,750.5,1407.625,1686,1780.5,2442,246.5,1470,1933.25,1523.125,36.51,41.43
1.1,1976.875,750.5,1407.625,1686.125,1780.375,2442,246.5,1470.25,1933.375,1523.375,36.48,41.4
1.2,1977,750.5,1407.5,1686.375,1780.375,2442,246.5,1470.25,1933.5,1523.375,36.48,41.41
1.3,1977,750.625,1407.625,1686.5,1780.5,2441.875,246.5,1470.375,1933.5,1523.625,36.48,41.4
1.4,1977,750.5,1407.625,1686.625,1780.375,2441.875,246.5,1470.625,1933.625,1523.625,36.48,41.41
1.5,1977.125,750.5,1407.625,1686.75,1780.375,2441.875,246.5,1470.625,1933.75,1523.75,36.51,41.46
1.6,1977.125,750.5,1407.625,1686.875,1780.375,2441.75,246.5,1470.75,1933.75,1523.75,36.5,41.43
1.7,1977.125,750.625,1407.625,1687.125,1780.25,2441.75,246.375,1471,1933.875,1523.875,36.51,41.4
1.8,1977.25,750.625,1407.625,1687.25,1780.25,2441.75,246.5,1471.125,1934,1524,36.5,41.4
1.9,1977.25,750.625,1407.625,1687.25,1780.25,2441.625,246.5,1471.125,1934,1524,36.51,41.4
2.0,1977.25,750.625,1407.625,1687.375,1780.25,2441.625,246.5,1471.25,1934.125,1524.125,36.48,41.4
2.1,1977.25,750.5,1407.625,1687.625,1780.125,2441.5,246.5,1471.375,1934.125,1524.125,36.5,41.37
2.2,1977.375,750.625,1407.625,1687.75,1780.125,2441.5,246.625,1471.5,1934.125,1524.25,36.5,41.49
2.3,1977.375,750.625,1407.75,1687.75,1780,2441.375,246.5,1471.625,1934.25,1524.25,36.5,41.41
2.4,1977.375,750.625,1407.625,1687.875,1780,2441.25,246.5,1471.75,1934.25,1524.25,36.5,41.41
2.5,1977.5,750.625,1407.75,1688,1780,2441.25,246.375,1471.75,1934.25,1524.375,36.5,41.4
2.6,1977.5,750.625,1407.625,1688.125,1779.875,2441.125,246.5,1471.875,1934.375,1524.25,36.5,41.4
2.7,1977.5,750.625,1407.75,1688.125,1779.875,2441,246.5,1472,1934.375,1524.375,36.5,41.4
2.8,1977.5,750.625,1407.75,1688.25,1779.875,2441,246.625,1472,1934.5,1524.375,36.52,41.42
2.9,1977.625,750.75,1407.75,1688.375,1779.75,2441,246.5,1472.125,1934.5,1524.5,36.51,41.4
3.0,1977.625,750.75,1407.75,1688.375,1779.75,2440.875,246.375,1472.125,1934.625,1524.5,36.51,41.4
3.1,1977.75,750.75,1407.75,1688.5,1779.625,2440.75,246.5,1472.25,1934.625,1524.5,36.51,41.39
3.2,1977.75,750.75,1407.75,1688.625,1779.5,2440.75,246.5,1472.375,1934.75,1524.625,36.52,41.4
3.3,1977.625,750.75,1407.75,1688.625,1779.5,2440.625,246.375,1472.375,1934.75,1524.625,36.51,41.35
3.4,1977.75,750.75,1407.75,1688.75,1779.375,2440.5,246.625,1472.375,1934.75,1524.625,36.52,41.31
3.5,1977.75,750.875,1407.75,1688.75,1779.375,2440.5,246.5,1472.5,1934.75,1524.625,36.51,41.37
3.6,1977.75,750.875,1407.75,1688.875,1779.25,2440.5,246.625,1472.5,1934.75,1524.625,36.5,41.34
3.7,1977.75,750.875,1407.75,1688.875,1779.25,2440.375,246.375,1472.625,1934.75,1524.625,36.51,41.35
3.8,1977.875,750.875,1407.75,1689,1779.125,2440.25,246.375,1472.625,1934.75,1524.625,36.51,41.35
