time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1994.75,764.375,1430.875,1753,1822.75,2477.125,243.75,1441.375,2019.375,1640.125,36.81,43.32
0.1,1995,764.375,1430.875,1754.25,1822.75,2477.375,243.625,1442.5,2019.875,1641.125,36.81,43.31
0.2,1995.25,764.375,1430.875,1755.375,1822.875,2477.5,243.625,1443.625,2020.375,1642.125,36.82,43.35
0.3,1995.5,764.5,1430.875,1756.375,1823,2477.625,243.875,1444.75,2021,1643,36.79,43.38
0.4,1995.75,764.5,1430.875,1757.625,1823.125,2477.75,243.625,1445.875,2021.5,1643.875,36.82,43.38
0.5,1996,764.375,1430.875,1758.625,1823.25,2478,243.75,1447,2022,1644.75,36.83,43.37
0.6,1996.125,764.375,1430.875,1759.625,1823.375,2478,243.75,1448,2022.5,1645.625,36.82,43.41
0.7,1996.5,764.375,1431,1760.75,1823.375,2478.25,243.75,1449.125,2023,1646.375,36.82,43.37
0.8,1996.625,764.375,1430.875,1761.75,1823.375,2478.375,243.875,1450.125,2023.5,1647.125,36.83,43.41
0.9,1996.875,764.25,1431,1762.75,1823.625,2478.5,243.875,1451,2023.875,1647.875,36.83,43.41
1.0,1997.125,764.375,1431,1763.75,1823.625,2478.75,243.75,1452,2024.375,1648.625,36.82,43.4
1.1,1997.375,764.25,1431,1764.75,1823.625,2478.75,243.875,1453,2024.75,1649.375,36.81,43.4
1.2,1997.625,764.375,1431,1765.5,1823.75,2478.875,243.875,1453.875,2025.25,1650,36.82,43.43
1.3,1997.875,764.25,1431,1766.375,1823.75,2478.875,243.875,1454.75,2025.625,1650.625,36.82,43.44
1.4,1998,764.25,1431,1767.25,1823.75,2479,243.75,1455.625,2026,1651.25,36.85,43.46
1.5,1998.25,764.375,1431,1768.125,1823.75,2479,243.75,1456.5,2026.375,1651.875,36.85,43.5
1.6,1998.5,764.25,1431,1768.875,1823.875,2479.125,243.75,1457.25,2026.75,1652.375,36.85,43.45
1.7,1998.625,764.25,1431,1769.75,1823.875,2479.125,243.75,1458,2027,1652.875,36.83,43.5
1.8,1998.875,764.25,1431,1770.625,1823.875,2479.125,243.875,1458.875,2027.375,1653.375,36.82,43.52
1.9,1999,764.25,1431,1771.375,1823.875,2479.25,243.75,1459.5,2027.625,1653.75,36.82,43.53
2.0,1999.25,764.25,1431,1772,1823.875,2479.125,243.75,1460.25,2028,1654.25,36.85,43.55
2.1,1999.375,764.25,1431,1772.75,1823.875,2479.125,243.875,1460.875,2028.25,1654.625,36.83,43.52
2.2,1999.625,764.25,1431,1773.5,1823.75,2479.125,243.875,1461.625,2028.5,1655,36.83,43.55
2.3,1999.875,764.25,1431,1774.125,1823.75,2479.125,243.75,1462.25,2028.75,1655.375,36.83,43.52
2.4,2000,764.25,1431,1774.75,1823.75,2479,243.75,1462.75,2029,1655.75,36.83,43.62
2.5,2000.25,764.25,1431,1775.375,1823.625,2479,243.75,1463.375,2029.25,1656,36.82,43.59
2.6,2000.375,764.25,1431,1776,1823.625,2479,243.875,1464,2029.5,1656.375,36.83,43.56
2.7,2000.5,764.25,1431.125,1776.5,1823.5,2478.875,243.75,1464.5,2029.75,1656.625,36.83,43.59
2.8,2000.75,764.25,1431,1777,1823.5,2478.875,243.625,1465,2029.875,1656.75,36.85,43.61
2.9,2000.875,764.25,1431,1777.625,1823.375,2478.75,243.875,1465.5,2030,1657,36.83,43.62
3.0,2001,764.25,1431.125,1778.125,1823.25,2478.625,243.75,1466,2030.25,1657.125,36.85,43.58
3.1,2001.25,764.25,1431,1778.625,1823.125,2478.5,243.875,1466.5,2030.375,1657.375,36.85,43.61
3.2,2001.375,764.25,1431,1779,1823.125,2478.375,243.875,1467,2030.5,1657.5,36.86,43.58
3.3,2001.625,764.25,1431,1779.5,1823,2478.375,243.625,1467.25,2030.625,1657.625,36.85,43.64
3.4,2001.75,764.25,1431,1779.875,1822.875,2478.25,243.625,1467.75,2030.875,1657.75,36.83,43.58
3.5,2001.875,764.375,1431,1780.25,1822.75,2478.125,243.75,1468.125,2030.875,1657.75,36.86,43.64
3.6,2002,764.25,1431.125,1780.625,1822.75,2478,243.75,1468.5,2031,1657.75,36.83,43.67
3.7,2002.25,764.25,1431.125,1781,1822.5,2478,243.75,1468.75,2031.125,1657.75,36.83,43.61
3.8,2002.375,764.375,1431,1781.375,1822.375,2477.875,243.625,1469.125,2031.125,1657.75,36.86,43.62
