time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1938.75,774.125,1420.125,1635.625,1789.75,2453,233.5,1284.25,1946.5,1511.875,37.4,38.74
0.1,1938.75,774.125,1420.25,1635.75,1789.75,2452.875,233.5,1284.375,1946.625,1512,37.38,38.73
0.2,1938.875,774.125,1420.25,1635.875,1789.75,2452.875,233.5,1284.625,1946.625,1512.125,37.38,38.77
0.3,1938.75,774.25,1420.25,1636,1789.75,2452.875,233.625,1284.75,1946.75,1512.25,37.4,38.77
0.4,1938.875,774.125,1420.25,1636.25,1789.625,2452.875,233.5,1284.875,1946.875,1512.375,37.4,38.73
0.5,1938.875,774.25,1420.25,1636.375,1789.75,2452.75,233.5,1285,1946.875,1512.5,37.4,38.76
0.6,1938.875,774.125,1420.25,1636.5,1789.75,2452.75,233.625,1285.125,1947,1512.5,37.38,38.77
0.7,1938.875,774.125,1420.25,1636.625,1789.625,2452.625,233.625,1285.25,1947.125,1512.625,37.41,38.75
0.8,1939,774.25,1420.25,1636.875,1789.625,2452.625,233.5,1285.5,1947.125,1512.75,37.38,38.73
0.9,1939,774.25,1420.25,1637,1789.625,2452.5,233.625,1285.625,1947.25,1512.75,37.38,38.73
1.0,1939.125,774.25,1420.25,1637.125,1789.625,2452.5,233.625,1285.625,1947.25,1512.875,37.4,38.76
1.1,1939.125,774.25,1420.25,1637.375,1789.625,2452.5,233.625,1285.875,1947.375,1513,37.41,38.78
1.2,1939.125,774.25,1420.25,1637.5,1789.625,2452.375,233.5,1286,1947.5,1513.125,37.41,38.75
1.3,1939.125,774.25,1420.25,1637.625,1789.5,2452.375,233.5,1286,1947.5,1513.125,37.38,38.73
1.4,1939.125,774.375,1420.25,1637.75,1789.5,2452.25,233.625,1286.25,1947.5,1513.125,37.4,38.74
1.5,1939.25,774.375,1420.25,1637.875,1789.5,2452.25,233.5,1286.25,1947.625,1513.25,37.41,38.7
1.6,1939.25,774.375,1420.25,1638,1789.375,2452.125,233.375,1286.375,1947.75,1513.375,37.44,38.78
1.7,1939.25,774.375,1420.25,1638.125,1789.375,2452.125,233.5,1286.625,1947.75,1513.25,37.41,38.73
1.8,1939.25,774.375,1420.25,1638.375,1789.375,2452,233.5,1286.625,1947.75,1513.375,37.41,38.72
1.9,1939.375,774.5,1420.25,1638.375,1789.375,2451.875,233.5,1286.75,1947.875,1513.5,37.41,38.72
2.0,1939.375,774.375,1420.25,1638.625,1789.25,2451.875,233.5,1286.875,1948,1513.5,37.41,38.72
2.1,1939.375,774.375,1420.375,1638.75,1789.25,2451.75,233.375,1287,1948,1513.625,37.4,38.7
2.2,1939.375,774.5,1420.25,1638.875,1789.25,2451.75,233.5,1287.125,1948,1513.625,37.4,38.69
2.3,1939.5,774.5,1420.25,1639,1789.125,2451.625,233.5,1287.25,1948.125,1513.75,37.41,38.72
2.4,1939.5,774.5,1420.25,1639,1789.125,2451.625,233.5,1287.375,1948.125,1513.75,37.43,38.72
2.5,1939.5,774.5,1420.25,1639.25,1789,2451.5,233.375,1287.375,1948.125,1513.75,37.43,38.72
2.6,1939.625,774.5,1420.375,1639.25,1789,2451.5,233.5,1287.5,1948.375,1513.75,37.43,38.71
2.7,1939.625,774.625,1420.25,1639.375,1788.875,2451.375,233.625,1287.625,1948.375,1513.875,37.41,38.67
2.8,1939.625,774.625,1420.25,1639.5,1788.875,2451.25,233.625,1287.625,1948.375,1513.875,37.43,38.64
2.9,1939.625,774.625,1420.375,1639.625,1788.75,2451.25,233.5,1287.75,1948.375,1514,37.4,38.63
3.0,1939.625,774.625,1420.25,1639.75,1788.75,2451.125,233.375,1287.875,1948.375,1514,37.38,38.67
3.1,1939.75,774.625,1420.375,1639.875,1788.75,2451.125,233.375,1288,1948.5,1514,37.41,38.67
3.2,1939.75,774.75,1420.375,1639.875,1788.625,2451,233.5,1288,1948.5,1514.125,37.44,38.6
3.3,1939.75,774.75,1420.25,1640,1788.625,2451,233.375,1288.125,1948.625,1514,37.41,38.55
3.4,1939.75,774.625,1420.375,1640.125,1788.5,2450.875,233.375,1288.125,1948.625,1514.125,37.43,38.63
3.5,1939.875,774.75,1420.375,1640.25,1788.5,2450.75,233.5,1288.25,1948.625,1514.125,37.41,38.61
3.6,1939.875,774.75,1420.375,1640.25,1788.375,2450.75,233.625,1288.25,1948.75,1514.125,37.43,38.6
3.7,1939.875,774.875,1420.375,1640.375,1788.375,2450.75,233.5,1288.375,1948.75,1514.125,37.43,38.64
3.8,1939.875,774.75,1420.375,1640.5,1788.25,2450.625,233.5,1288.375,1948.75,1514.125,37.41,38.57
3.9,1940,774.875,1420.375,1640.5,1788.25,2450.5,233.5,1288.5,1948.875,1514.125,37.43,38.55
4.0,1939.875,774.875,1420.375,1640.625,1788.125,2450.5,233.5,1288.5,1948.875,1514.25,37.43,38.59
4.1,1940,774.875,1420.375,1640.75,1788.125,2450.375,233.375,1288.625,1948.875,1514.25,37.44,38.56
4.2,1940,774.875,1420.375,1640.75,1788,2450.375,233.5,1288.625,1949,1514.25,37.41,38.57
4.3,1940,774.875,1420.375,1640.875,1787.875,2450.25,233.375,1288.75,1949,1514.25,37.41,38.48
4.4,1940,775,1420.375,1641,1787.875,2450.25,233.5,1288.75,1949,1514.25,37.41,38.55
4.5,1940,774.875,1420.375,1641,1787.75,2450.125,233.5,1288.875,1949,1514.25,37.43,38.54
4.6,1940.125,775,1420.375,1641.125,1787.75,2450.125,233.5,1288.875,1949,1514.25,37.41,38.54
4.7,1940.125,775,1420.375,1641.125,1787.75,2450,233.5,1289,1949,1514.25,37.43,38.54
4.8,1940.125,775,1420.375,1641.25,1787.625,2449.875,233.5,1289,1949.125,1514.25,37.43,38.48
4.9,1940.125,775.125,1420.375,1641.25,1787.5,2449.875,233.375,1289,1949.125,1514.25,37.43,38.55
5.0,1940.125,775.125,1420.375,1641.25,1787.5,2449.75,233.5,1289.125,1949.125,1514.25,37.41,38.48
5.1,1940.125,775.125,1420.375,1641.375,1787.375,2449.75,233.5,1289.125,1949.125,1514.25,37.43,38.5
5.2,1940.125,775.125,1420.375,1641.375,1787.375,2449.75,233.625,1289.125,1949.25,1514.25,37.43,38.48
5.3,1940.125,775.125,1420.375,1641.375,1787.25,2449.625,233.5,1289.125,1949.25,1514.25,37.43,38.53
5.4,1940.125,775.125,1420.375,1641.375,1787.125,2449.625,233.5,1289.125,1949.25,1514.25,37.4,38.45
5.5,1940.125,775.125,1420.375,1641.5,1787.125,2449.5,233.625,1289.25,1949.25,1514.25,37.41,38.45
5.6,1940.125,775.125,1420.375,1641.5,1787,2449.5,233.625,1289.25,1949.375,1514.25,37.43,38.48
5.7,1940.25,775.125,1420.375,1641.625,1787,2449.375,233.625,1289.25,1949.375,1514.25,37.45,38.43
5.8,1940.125,775.125,1420.375,1641.625,1786.875,2449.375,233.5,1289.25,1949.375,1514.25,37.43,38.44
5.9,1940.25,775.125,1420.375,1641.625,1786.875,2449.375,233.375,1289.375,1949.375,1514.25,37.44,38.45
6.0,1940.25,775.25,1420.375,1641.625,1786.75,2449.25,233.5,1289.375,1949.5,1514.25,37.44,38.44
6.1,1940.25,775.25,1420.375,1641.75,1786.625,2449.25,233.5,1289.375,1949.5,1514.25,37.41,38.41
6.2,1940.25,775.25,1420.375,1641.75,1786.625,2449.125,233.5,1289.375,1949.5,1514.125,37.43,38.36
6.3,1940.25,775.25,1420.375,1641.75,1786.625,2449.125,233.5,1289.375,1949.5,1514.125,37.44,38.42
6.4,1940.25,775.25,1420.375,1641.75,1786.5,2449.125,233.375,1289.5,1949.5,1514.125,37.41,38.41
6.5,1940.25,775.25,1420.5,1641.875,1786.375,2449,233.5,1289.5,1949.5,1514.125,37.44,38.4
6.6,1940.25,775.25,1420.5,1641.75,1786.375,2449,233.5,1289.5,1949.5,1514.125,37.44,38.42
6.7,1940.375,775.25,1420.375,1641.75,1786.375,2449,233.5,1289.5,1949.5,1514.125,37.43,38.36
6.8,1940.375,775.375,1420.5,1641.875,1786.25,2448.875,233.5,1289.5,1949.5,1514.125,37.44,38.4
6.9,1940.25,775.375,1420.375,1641.875,1786.125,2448.875,233.5,1289.5,1949.625,1514,37.43,38.39
7.0,1940.375,775.375,1420.375,1641.875,1786.125,2448.75,233.625,1289.625,1949.625,1514,37.43,38.36
7.1,1940.375,775.375,1420.375,1641.875,1786,2448.75,233.625,1289.5,1949.625,1514,37.43,38.38
7.2,1940.375,775.375,1420.375,1641.875,1786,2448.75,233.5,1289.625,1949.625,1514,37.44,38.35
7.3,1940.375,775.375,1420.375,1641.875,1786,2448.75,233.5,1289.625,1949.625,1513.875,37.44,38.38
7.4,1940.5,775.375,1420.375,1641.875,1785.875,2448.625,233.375,1289.625,1949.625,1513.875,37.45,38.35
7.5,1940.375,775.375,1420.375,1641.875,1785.75,2448.625,233.5,1289.625,1949.625,1513.875,37.43,38.3
7.6,1940.5,775.5,1420.375,1641.875,1785.75,2448.5,233.5,1289.625,1949.625,1513.75,37.43,38.3
7.7,1940.5,775.5,1420.375,1641.875,1785.75,2448.5,233.5,1289.625,1949.625,1513.875,37.41,38.35
7.8,1940.5,775.5,1420.375,1641.875,1785.75,2448.5,233.5,1289.625,1949.625,1513.75,37.44,38.36
7.9,1940.5,775.5,1420.375,1642,1785.625,2448.5,233.375,1289.75,1949.625,1513.75,37.44,38.29
8.0,1940.5,775.5,1420.375,1641.875,1785.625,2448.375,233.5,1289.625,1949.625,1513.75,37.45,38.31
8.1,1940.5,775.5,1420.375,1642,1785.5,2448.25,233.5,1289.75,1949.625,1513.75,37.44,38.29
8.2,1940.5,775.5,1420.375,1642,1785.5,2448.375,233.375,1289.75,1949.75,1513.625,37.41,38.29
8.3,1940.5,775.625,1420.375,1642,1785.375,2448.25,233.5,1289.75,1949.75,1513.625,37.44,38.29
8.4,1940.5,775.5,1420.375,1642,1785.375,2448.25,233.625,1289.75,1949.625,1513.625,37.41,38.33
8.5,1940.5,775.625,1420.375,1641.875,1785.375,2448.125,233.375,1289.75,1949.75,1513.75,37.43,38.3
8.6,1940.5,775.625,1420.375,1642,1785.25,2448.125,233.375,1289.75,1949.75,1513.625,37.41,38.3
8.7,1940.5,775.625,1420.375,1641.875,1785.25,2448.125,233.375,1289.75,1949.75,1513.625,37.41,38.29
8.8,1940.5,775.625,1420.375,1641.875,1785.125,2448,233.5,1289.75,1949.75,1513.5,37.43,38.29
8.9,1940.625,775.625,1420.375,1641.875,1785.125,2448,233.375,1289.75,1949.75,1513.5,37.43,38.28
9.0,1940.5,775.625,1420.375,1641.875,1785.125,2448,233.375,1289.75,1949.75,1513.5,37.41,38.26
9.1,1940.625,775.625,1420.375,1641.875,1785,2447.875,233.5,1289.75,1949.875,1513.5,37.43,38.26
9.2,1940.625,775.75,1420.375,1641.875,1785,2447.875,233.375,1289.75,1949.75,1513.375,37.43,38.25
9.3,1940.625,775.75,1420.5,1641.875,1784.875,2447.875,233.375,1289.75,1949.75,1513.375,37.41,38.24
9.4,1940.625,775.75,1420.375,1641.875,1784.875,2447.75,233.5,1289.75,1949.875,1513.375,37.44,38.25
9.5,1940.625,775.75,1420.5,1641.875,1784.875,2447.75,233.375,1289.75,1949.875,1513.375,37.41,38.28
9.6,1940.5,775.75,1420.375,1641.875,1784.75,2447.625,233.375,1289.75,1949.875,1513.375,37.43,38.25
9.7,1940.625,775.875,1420.375,1641.875,1784.75,2447.625,233.5,1289.75,1949.875,1513.25,37.43,38.26
9.8,1940.625,775.875,1420.375,1641.875,1784.75,2447.625,233.375,1289.75,1949.75,1513.25,37.41,38.23
9.9,1940.625,775.875,1420.5,1641.875,1784.625,2447.625,233.5,1289.75,1949.875,1513.25,37.38,38.23
10.0,1940.625,775.875,1420.375,1641.75,1784.625,2447.5,233.375,1289.75,1949.875,1513.125,37.44,38.23
10.1,1940.625,775.875,1420.25,1641.625,1784.625,2447.375,233.375,1289.75,1949.75,1513.125,37.41,38.2
10.2,1940.375,775.75,1420.25,1641.625,1784.5,2446.625,233.125,1289.75,1949.75,1513,37.41,38.21
10.3,1940.25,775.625,1420.125,1641.5,1784.375,2445.5,233,1289.625,1949.75,1512.875,37.41,38.21
10.4,1940.125,775.625,1420.125,1641.5,1784.25,2444.25,233,1289.625,1949.625,1512.75,37.4,38.21
10.5,1940,775.625,1420.125,1641.375,1784.125,2443,232.625,1289.625,1949.625,1512.75,37.41,38.24
10.6,1939.875,775.5,1420,1641.375,1784,2441.625,232.375,1289.625,1949.5,1512.875,37.41,38.19
10.7,1939.875,775.375,1420,1641.25,1783.875,2440.25,232.25,1289.5,1949.5,1513.375,37.43,38.25
10.8,1940,775.375,1420,1641.25,1783.875,2439.125,231.875,1289.5,1949.5,1514.375,37.43,38.2
10.9,1940.125,775.375,1419.875,1641.375,1784.125,2438.125,231.75,1289.625,1949.625,1516.625,37.41,38.19
11.0,1940.375,775.375,1419.875,1641.5,1784.375,2437.25,231.625,1289.75,1949.75,1520.25,37.44,38.2
11.1,1940.875,775.375,1419.875,1641.875,1785.125,2436.875,231.625,1290.125,1950.25,1525.5,37.4,38.2
11.2,1941.375,775.375,1419.875,1642.75,1786.25,2437.75,231.5,1291,1951.25,1532.875,37.44,38.18
11.3,1942.25,775.375,1419.875,1644.125,1788,2439.375,231.5,1292.375,1953.125,1542.625,37.43,38.2
11.4,1943.5,775.375,1419.875,1646.5,1790.5,2442,231.625,1294.625,1956.25,1555.25,37.43,38.22
11.5,1945,775.375,1419.875,1649.875,1793.625,2445.375,231.75,1298.375,1961,1570.625,37.43,38.16
11.6,1946.875,775.375,1419.875,1654.625,1797.5,2449.625,231.875,1303.875,1967.5,1589.125,37.44,38.16
11.7,1949,775.5,1419.875,1660.875,1802.125,2454.625,232,1312,1976.25,1611.625,37.44,38.19
11.8,1951.375,775.5,1419.875,1669,1807.375,2460.125,232.125,1322.625,1987.375,1638.5,37.44,38.18
