time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1966,784.75,1444.25,1671.875,1789,2454.75,243,1286.125,2026,1542.875,37.47,38.35
0.1,1966,784.75,1444.25,1672.125,1788.875,2454.625,243.125,1286.25,2026.125,1543,37.48,38.4
0.2,1966,784.875,1444.25,1672.25,1788.875,2454.625,243.125,1286.375,2026,1543.125,37.47,38.34
0.3,1966,784.875,1444.25,1672.375,1788.875,2454.625,243.25,1286.375,2026.125,1543,37.47,38.37
0.4,1966,784.875,1444.25,1672.5,1788.875,2454.625,243.25,1286.5,2026.125,1543.125,37.5,38.3
0.5,1966.125,784.875,1444.25,1672.625,1788.875,2454.5,243.125,1286.625,2026.125,1543.125,37.5,38.33
0.6,1966.125,784.875,1444.25,1672.75,1788.75,2454.5,243.25,1286.625,2026.25,1543.125,37.48,38.35
0.7,1966.125,784.875,1444.25,1672.875,1788.75,2454.5,243.125,1286.75,2026.25,1543.125,37.48,38.35
0.8,1966.125,784.875,1444.375,1673,1788.75,2454.5,243.125,1286.875,2026.25,1543.25,37.5,38.28
0.9,1966.25,784.875,1444.375,1673.125,1788.625,2454.375,243.125,1286.875,2026.25,1543.25,37.48,38.35
1.0,1966.125,784.875,1444.25,1673.25,1788.625,2454.375,243.125,1287,2026.25,1543.25,37.5,38.3
1.1,1966.25,784.875,1444.375,1673.25,1788.625,2454.375,243.25,1287,2026.375,1543.25,37.5,38.33
1.2,1966.25,784.875,1444.375,1673.375,1788.5,2454.25,243.125,1287.125,2026.375,1543.25,37.51,38.33
1.3,1966.25,785,1444.375,1673.5,1788.5,2454.25,243.125,1287.125,2026.375,1543.25,37.48,38.27
1.4,1966.25,784.875,1444.25,1673.625,1788.5,2454.25,243,1287.125,2026.375,1543.25,37.5,38.34
1.5,1966.25,785,1444.375,1673.75,1788.5,2454.25,243.125,1287.25,2026.375,1543.25,37.51,38.31
1.6,1966.375,784.875,1444.375,1673.75,1788.5,2454.125,243,1287.25,2026.375,1543.25,37.5,38.33
1.7,1966.375,784.875,1444.375,1673.875,1788.375,2454.125,243.125,1287.375,2026.375,1543.25,37.48,38.28
1.8,1966.375,784.875,1444.375,1674,1788.375,2454.125,243.25,1287.5,2026.375,1543.25,37.5,38.36
1.9,1966.375,784.875,1444.375,1674,1788.25,2454.125,243.375,1287.5,2026.375,1543.25,37.51,38.28
2.0,1966.375,784.875,1444.375,1674.125,1788.375,2454.125,243.375,1287.5,2026.375,1543.25,37.5,38.27
2.1,1966.375,784.875,1444.5,1674.25,1788.25,2454,243.125,1287.5,2026.375,1543.25,37.51,38.27
2.2,1966.5,784.875,1444.5,1674.375,1788.25,2454,243.125,1287.5,2026.375,1543.25,37.5,38.28
2.3,1966.5,785,1444.375,1674.375,1788.125,2454,243.25,1287.625,2026.375,1543.125,37.48,38.27
2.4,1966.5,785,1444.375,1674.5,1788.25,2453.875,243.125,1287.625,2026.375,1543.125,37.51,38.3
2.5,1966.5,784.875,1444.5,1674.5,1788.125,2453.875,243,1287.625,2026.375,1543.125,37.51,38.25
2.6,1966.5,785,1444.375,1674.625,1788,2453.875,243,1287.625,2026.375,1543.125,37.51,38.25
2.7,1966.5,785,1444.375,1674.625,1788,2453.875,243.125,1287.75,2026.375,1543.125,37.51,38.31
2.8,1966.5,785,1444.375,1674.625,1788,2453.75,243.125,1287.75,2026.25,1543.125,37.5,38.28
2.9,1966.625,785,1444.5,1674.625,1788,2453.75,243.125,1287.625,2026.25,1543,37.47,38.27
3.0,1966.5,785,1444.5,1674.75,1787.875,2453.75,242.875,1287.75,2026.25,1543,37.5,38.25
3.1,1966.625,784.875,1444.375,1674.75,1787.875,2453.75,243,1287.75,2026.375,1542.875,37.5,38.24
3.2,1966.625,784.875,1444.375,1674.875,1787.875,2453.625,243,1287.75,2026.25,1543,37.51,38.24
3.3,1966.625,785,1444.375,1674.875,1787.875,2453.625,243,1287.75,2026.25,1542.875,37.51,38.25
3.4,1966.625,785,1444.375,1674.875,1787.875,2453.625,243,1287.75,2026.25,1542.75,37.51,38.24
3.5,1966.625,785,1444.375,1674.875,1787.75,2453.625,243,1287.75,2026.25,1542.75,37.54,38.29
3.6,1966.625,785,1444.375,1674.875,1787.75,2453.5,243.125,1287.75,2026.25,1542.75,37.53,38.24
3.7,1966.625,785,1444.375,1675,1787.75,2453.5,243.125,1287.75,2026.25,1542.625,37.51,38.25
3.8,1966.75,785,1444.375,1675,1787.625,2453.5,243,1287.75,2026.25,1542.625,37.53,38.25
3.9,1966.75,785.125,1444.5,1675,1787.625,2453.5,243,1287.75,2026.25,1542.625,37.54,38.18
4.0,1966.75,785,1444.5,1675,1787.625,2453.375,243,1287.75,2026.125,1542.5,37.54,38.26
4.1,1966.75,785.125,1444.375,1675.125,1787.625,2453.375,243.125,1287.75,2026.125,1542.5,37.5,38.22
4.2,1966.75,785.125,1444.375,1675,1787.625,2453.375,243.125,1287.625,2026.125,1542.375,37.53,38.21
4.3,1966.75,785,1444.5,1675.125,1787.625,2453.375,243.125,1287.75,2026.125,1542.375,37.51,38.21
4.4,1966.75,785,1444.5,1675.125,1787.5,2453.375,243.125,1287.625,2026,1542.25,37.51,38.21
4.5,1966.75,785,1444.5,1675.125,1787.5,2453.25,243,1287.625,2026,1542.25,37.51,38.19
4.6,1966.75,785,1444.5,1675.125,1787.375,2453.25,243,1287.625,2026,1542.25,37.53,38.23
4.7,1966.75,785.125,1444.375,1675.125,1787.5,2453.25,243,1287.625,2026,1542.125,37.5,38.19
4.8,1966.75,785.125,1444.375,1675.125,1787.375,2453.25,243.125,1287.625,2025.875,1542,37.53,38.23
4.9,1966.75,785,1444.5,1675.125,1787.375,2453.25,243.125,1287.625,2025.875,1542,37.51,38.18
