time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1990.75,777.5,1432.25,1700.875,1807.375,2466.625,245.375,1318.75,2004.75,1565.375,36.88,43.07
0.1,1990.75,777.5,1432.25,1701,1807.375,2466.75,245.375,1318.75,2004.75,1565.5,36.88,43.09
0.2,1990.875,777.5,1432.125,1701,1807.5,2466.75,245.375,1318.625,2004.75,1565.5,36.89,43.1
0.3,1990.75,777.5,1432.25,1701,1807.625,2466.75,245.375,1318.625,2004.625,1565.5,36.89,43.07
0.4,1990.75,777.5,1432.25,1701.125,1807.75,2467,245.375,1318.75,2004.625,1565.5,36.9,43.07
0.5,1990.75,777.375,1432.125,1701.125,1807.75,2467,245.25,1318.75,2004.625,1565.5,36.9,43.1
0.6,1990.75,777.375,1432.125,1701.125,1807.875,2467.125,245.375,1318.75,2004.625,1565.5,36.92,43.1
0.7,1990.75,777.375,1432.125,1701.125,1808,2467.25,245.25,1318.75,2004.625,1565.625,36.9,43.08
0.8,1990.875,777.375,1432.25,1701.25,1808.125,2467.5,245.375,1318.875,2004.625,1565.75,36.88,43.09
0.9,1990.75,777.375,1432.25,1701.375,1808.25,2467.625,245.375,1318.875,2004.75,1565.75,36.88,43.05
1.0,1990.875,777.375,1432.125,1701.5,1808.375,2467.75,245.375,1319,2004.875,1565.875,36.9,43.14
1.1,1990.875,777.375,1432.125,1701.625,1808.5,2467.875,245.25,1319,2004.875,1566.125,36.92,43.13
1.2,1990.875,777.25,1432.25,1701.625,1808.625,2468.125,245.375,1319.125,2005,1566.25,36.92,43.14
1.3,1990.875,777.25,1432.125,1701.75,1808.875,2468.25,245.375,1319.25,2005,1566.375,36.9,43.16
1.4,1990.875,777.25,1432.25,1702,1809,2468.5,245.25,1319.375,2005.125,1566.5,36.9,43.13
1.5,1991,777.25,1432.25,1702.125,1809.125,2468.625,245.375,1319.5,2005.25,1566.75,36.92,43.13
1.6,1991,777.25,1432.25,1702.25,1809.375,2468.75,245.375,1319.625,2005.375,1567,36.89,43.17
1.7,1991,777.25,1432.125,1702.375,1809.5,2469,245.5,1319.875,2005.5,1567.125,36.89,43.17
1.8,1991,777.125,1432.125,1702.625,1809.625,2469.125,245.375,1320,2005.625,1567.375,36.89,43.13
1.9,1991,777.125,1432.125,1702.75,1809.875,2469.375,245.375,1320.25,2005.75,1567.625,36.9,43.22
2.0,1991,777.125,1432.25,1703,1810.125,2469.5,245.375,1320.375,2006,1567.875,36.9,43.19
2.1,1991.125,777.125,1432.125,1703.25,1810.25,2469.625,245.375,1320.625,2006.125,1568.25,36.93,43.15
2.2,1991.125,777,1432.125,1703.375,1810.5,2469.875,245.375,1320.875,2006.25,1568.5,36.92,43.2
2.3,1991.125,777,1432.125,1703.625,1810.625,2470,245.375,1321.125,2006.5,1568.875,36.9,43.22
2.4,1991.125,777,1432.25,1703.875,1810.75,2470.25,245.25,1321.5,2006.625,1569.125,36.92,43.23
2.5,1991.25,777,1432.125,1704.125,1811,2470.25,245.375,1321.75,2006.875,1569.5,36.92,43.2
2.6,1991.25,777,1432.25,1704.5,1811.125,2470.375,245.25,1322,2007,1569.875,36.92,43.23
2.7,1991.375,777,1432.25,1704.75,1811.375,2470.625,245.25,1322.375,2007.25,1570.125,36.92,43.26
2.8,1991.375,777,1432.25,1705,1811.5,2470.75,245.375,1322.75,2007.5,1570.625,36.9,43.23
2.9,1991.375,776.875,1432.25,1705.25,1811.625,2470.875,245.25,1323.125,2007.625,1571,36.92,43.34
3.0,1991.5,776.875,1432.25,1705.625,1811.875,2471,245.25,1323.375,2007.875,1571.25,36.93,43.25
3.1,1991.5,776.875,1432.25,1705.875,1812,2471,245.25,1323.875,2008.125,1571.625,36.92,43.29
3.2,1991.5,776.875,1432.125,1706.25,1812.125,2471.25,245.25,1324.25,2008.25,1572.125,36.93,43.31
