time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1977.375,780.375,1455.5,1671.375,1796.875,2414.375,236.875,1312,2003.875,1531.25,37.54,39.17
0.1,1977.375,780.5,1455.625,1671.375,1796.875,2414.25,236.875,1312.125,2004,1531.375,37.53,39.23
0.2,1977.5,780.5,1455.5,1671.5,1796.875,2414.125,236.875,1312.25,2004,1531.625,37.53,39.19
0.3,1977.5,780.5,1455.5,1671.625,1797,2414.5,236.75,1312.375,2004.125,1531.75,37.54,39.23
0.4,1977.5,780.5,1455.5,1671.75,1797,2415.125,237,1312.5,2004.25,1531.875,37.54,39.29
0.5,1977.5,780.5,1455.5,1671.875,1797,2416,237.25,1312.625,2004.25,1532,37.54,39.25
0.6,1977.5,780.5,1455.5,1672,1797.125,2416.25,237.25,1312.75,2004.375,1532.125,37.56,39.22
0.7,1977.5,780.5,1455.5,1672.125,1797.125,2416.25,237.125,1312.75,2004.5,1532.25,37.54,39.26
0.8,1977.5,780.5,1455.5,1672.25,1797.125,2416.125,237.125,1312.875,2004.625,1532.375,37.53,39.22
0.9,1977.5,780.5,1455.5,1672.375,1797.25,2415.875,237.125,1313.125,2004.75,1532.5,37.54,39.23
1.0,1977.5,780.5,1455.5,1672.625,1797.25,2415.625,237.25,1313.25,2004.75,1532.75,37.53,39.22
1.1,1977.5,780.5,1455.5,1672.75,1797.125,2415.5,237.25,1313.375,2004.875,1532.875,37.53,39.17
1.2,1977.625,780.5,1455.5,1672.875,1797.25,2415.25,237,1313.5,2004.875,1533,37.54,39.2
1.3,1977.625,780.5,1455.625,1673,1797.25,2415.125,237.125,1313.625,2005,1533.125,37.56,39.21
1.4,1977.625,780.5,1455.5,1673.125,1797.375,2415.5,237.125,1313.75,2005.125,1533.25,37.54,39.25
1.5,1977.625,780.625,1455.5,1673.25,1797.375,2416.25,237.25,1313.875,2005.25,1533.5,37.56,39.21
1.6,1977.75,780.625,1455.5,1673.375,1797.375,2417.125,237.375,1314.125,2005.375,1533.625,37.54,39.22
1.7,1977.75,780.5,1455.5,1673.625,1797.5,2418.125,237.375,1314.25,2005.375,1533.875,37.57,39.18
