time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1944.875,771.625,1415.625,1629.75,1772.375,2441.5,237.25,1308.75,1996.375,1515.875,37.41,37.58
0.1,1945,771.625,1415.625,1629.875,1772.375,2441.625,237.25,1308.875,1996.375,1515.875,37.37,37.54
0.2,1945,771.75,1415.625,1629.875,1772.375,2441.5,237.25,1309,1996.5,1516,37.38,37.56
0.3,1945,771.75,1415.625,1630.125,1772.375,2441.5,237.25,1309.125,1996.5,1516.125,37.38,37.5
0.4,1945,771.75,1415.625,1630.125,1772.375,2441.5,237.375,1309.25,1996.625,1516.125,37.41,37.52
0.5,1945,771.75,1415.625,1630.25,1772.375,2441.5,237.375,1309.25,1996.625,1516.25,37.43,37.55
0.6,1945,771.75,1415.625,1630.375,1772.5,2441.5,237.25,1309.375,1996.75,1516.375,37.38,37.5
0.7,1945,771.875,1415.625,1630.625,1772.5,2441.375,237.125,1309.375,1996.75,1516.5,37.41,37.55
0.8,1945,771.875,1415.625,1630.625,1772.5,2441.375,237.25,1309.5,1996.75,1516.5,37.41,37.5
0.9,1945,771.875,1415.625,1630.75,1772.5,2441.375,237.125,1309.625,1996.875,1516.625,37.38,37.56
1.0,1945.125,771.875,1415.75,1630.875,1772.375,2441.375,237.125,1309.75,1996.875,1516.625,37.4,37.52
1.1,1945,771.75,1415.625,1631,1772.5,2441.375,237.25,1309.75,1996.875,1516.75,37.41,37.55
1.2,1945.125,771.75,1415.75,1631,1772.5,2441.375,237.125,1309.875,1996.875,1516.75,37.4,37.58
1.3,1945.125,771.875,1415.625,1631.125,1772.5,2441.25,237.125,1310,1996.875,1516.875,37.41,37.5
1.4,1945.125,771.75,1415.75,1631.25,1772.375,2441.25,237,1310,1996.875,1517,37.4,37.55
1.5,1945.125,771.875,1415.75,1631.375,1772.375,2441.25,237.125,1310.125,1997,1517,37.4,37.52
1.6,1945.125,771.875,1415.75,1631.375,1772.5,2441.25,237.125,1310.125,1997,1517,37.4,37.53
1.7,1945.125,771.875,1415.75,1631.5,1772.375,2441.25,237.25,1310.25,1997,1517.125,37.4,37.53
1.8,1945.125,771.875,1415.75,1631.625,1772.375,2441.25,237.25,1310.25,1997.125,1517.125,37.43,37.5
1.9,1945.125,771.875,1415.75,1631.75,1772.375,2441.25,237.125,1310.375,1997.125,1517.25,37.41,37.58
