time(s),F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Temp,Humid
0.0,1981.875,786.125,1443.625,1708,1812.75,2476.875,246,1324,2074.625,1583,37.45,40.44
0.1,1981.875,786.125,1443.625,1708.25,1812.75,2476.75,246,1324.25,2074.875,1583.375,37.5,40.46
0.2,1982,786,1443.625,1708.625,1812.625,2476.75,246,1324.5,2075.125,1583.625,37.47,40.41
0.3,1982,786.125,1443.625,1709,1812.625,2476.625,246,1324.875,2075.375,1583.875,37.48,40.4
0.4,1982.125,786.125,1443.625,1709.375,1812.5,2476.5,246,1325.125,2075.5,1584.125,37.48,40.4
0.5,1982.125,786.25,1443.625,1709.625,1812.5,2476.5,246,1325.375,2075.625,1584.375,37.48,40.38
0.6,1982.25,786.375,1443.625,1709.875,1812.375,2476.25,246.125,1325.75,2075.875,1584.625,37.47,40.35
0.7,1982.375,786.25,1443.625,1710.25,1812.375,2476.25,246.125,1326,2076.125,1584.875,37.51,40.38
0.8,1982.375,786.375,1443.75,1710.625,1812.25,2476.125,246,1326.25,2076.25,1585.125,37.5,40.35
0.9,1982.5,786.25,1443.625,1710.875,1812.25,2476,246.125,1326.5,2076.5,1585.25,37.47,40.32
1.0,1982.5,786.375,1443.75,1711.125,1812.125,2475.875,246,1326.75,2076.625,1585.5,37.5,40.29
1.1,1982.625,786.375,1443.75,1711.5,1812,2475.75,246,1327,2076.75,1585.75,37.5,40.31
1.2,1982.625,786.5,1443.75,1711.75,1812,2475.75,246,1327.25,2076.875,1585.875,37.48,40.32
1.3,1982.75,786.375,1443.75,1712,1811.875,2475.625,246,1327.5,2077.125,1586.125,37.53,40.27
1.4,1982.75,786.5,1443.75,1712.375,1811.75,2475.375,246,1327.75,2077.25,1586.375,37.5,40.28
1.5,1982.875,786.625,1443.75,1712.625,1811.75,2475.375,245.75,1328,2077.375,1586.5,37.47,40.26
1.6,1982.875,786.625,1443.75,1712.875,1811.625,2475.25,245.75,1328.125,2077.625,1586.75,37.48,40.22
1.7,1983,786.5,1443.75,1713.125,1811.625,2475.125,246,1328.375,2077.75,1586.875,37.51,40.24
1.8,1983,786.625,1443.75,1713.375,1811.5,2475,246,1328.625,2077.875,1587,37.5,40.24
1.9,1983.125,786.625,1443.75,1713.625,1811.375,2474.875,245.875,1328.875,2078,1587.25,37.5,40.18
2.0,1983.125,786.625,1443.75,1713.875,1811.25,2474.875,246,1329,2078.25,1587.5,37.5,40.19
2.1,1983.25,786.75,1443.75,1714.125,1811.125,2474.625,246,1329.25,2078.375,1587.625,37.5,40.22
2.2,1983.25,786.75,1443.75,1714.375,1811.125,2474.625,245.875,1329.5,2078.375,1587.75,37.51,40.13
2.3,1983.375,786.75,1443.75,1714.75,1811,2474.5,245.875,1329.75,2078.625,1587.875,37.5,40.18
2.4,1983.375,786.75,1443.75,1715,1810.875,2474.375,245.875,1329.875,2078.75,1588.125,37.51,40.15
2.5,1983.5,786.875,1443.75,1715.125,1810.875,2474.25,245.75,1330.125,2078.875,1588.25,37.51,40.09
2.6,1983.5,786.875,1443.75,1715.375,1810.75,2474.25,245.75,1330.25,2079,1588.5,37.51,40.19
2.7,1983.625,787,1443.75,1715.625,1810.625,2474.125,245.75,1330.5,2079.25,1588.625,37.53,40.12
2.8,1983.625,787,1443.75,1715.75,1810.625,2474,245.5,1330.75,2079.375,1588.75,37.5,40.06
2.9,1983.75,787.125,1443.75,1716.125,1810.5,2473.875,245.75,1331,2079.5,1588.875,37.5,40.07
3.0,1983.75,787.125,1443.75,1716.25,1810.375,2473.75,245.875,1331.125,2079.5,1589.125,37.53,40.05
3.1,1983.75,787.125,1443.75,1716.5,1810.375,2473.625,245.875,1331.375,2079.75,1589.25,37.51,40.12
3.2,1983.875,787.125,1443.875,1716.75,1810.125,2473.625,245.875,1331.5,2079.875,1589.375,37.51,40.02
3.3,1983.875,787.125,1443.75,1716.875,1810.125,2473.5,245.875,1331.625,2080,1589.5,37.5,40.06
3.4,1984,787.125,1443.875,1717.125,1810,2473.375,245.875,1331.875,2080.125,1589.625,37.5,40
3.5,1984,787.125,1443.875,1717.375,1809.875,2473.25,245.875,1332,2080.25,1589.875,37.53,40.05
3.6,1984.125,787.375,1443.75,1717.5,1809.875,2473.25,245.875,1332.25,2080.375,1589.875,37.53,40.02
3.7,1984.125,787.375,1443.875,1717.75,1809.75,2473.125,246,1332.375,2080.5,1590,37.5,39.98
3.8,1984.125,787.375,1443.875,1718,1809.625,2473,245.875,1332.625,2080.5,1590.25,37.47,40
3.9,1984.25,787.375,1443.75,1718.125,1809.5,2472.875,245.875,1332.75,2080.625,1590.25,37.51,39.97
4.0,1984.25,787.5,1443.875,1718.375,1809.375,2472.75,246,1333,2080.75,1590.375,37.5,39.94
4.1,1984.375,787.5,1443.875,1718.5,1809.375,2472.75,245.875,1333.125,2080.875,1590.5,37.5,39.95
4.2,1984.375,787.625,1443.75,1718.75,1809.25,2472.5,245.875,1333.25,2080.875,1590.625,37.51,39.94
4.3,1984.5,787.5,1443.875,1718.875,1809,2472.375,246,1333.5,2081,1590.75,37.53,39.93
4.4,1984.5,787.5,1443.875,1719,1809,2472.375,245.875,1333.625,2081.125,1590.75,37.5,39.93
4.5,1984.5,787.625,1443.875,1719.25,1808.875,2472.25,245.875,1333.75,2081.25,1590.875,37.51,39.87
4.6,1984.625,787.625,1443.875,1719.375,1808.75,2472.125,245.875,1334,2081.25,1591,37.5,39.86
4.7,1984.625,787.625,1443.875,1719.5,1808.625,2472,245.875,1334,2081.375,1591,37.51,39.87
4.8,1984.75,787.75,1443.875,1719.75,1808.625,2471.875,245.75,1334.25,2081.375,1591.125,37.5,39.85
4.9,1984.75,787.75,1443.875,1719.75,1808.5,2471.875,245.875,1334.375,2081.5,1591.25,37.51,39.82
5.0,1984.75,787.75,1443.875,1720,1808.375,2471.75,245.875,1334.5,2081.5,1591.25,37.51,39.87
5.1,1984.875,787.875,1443.875,1720.125,1808.25,2471.625,245.875,1334.625,2081.625,1591.375,37.48,39.8
5.2,1984.875,787.75,1443.875,1720.25,1808.125,2471.5,245.75,1334.75,2081.75,1591.375,37.5,39.78
5.3,1984.875,787.875,1443.875,1720.375,1808,2471.375,245.75,1334.875,2081.75,1591.375,37.5,39.82
5.4,1985,787.875,1443.875,1720.5,1807.875,2471.375,246,1335.125,2081.875,1591.5,37.53,39.78
5.5,1985,787.875,1443.875,1720.625,1807.75,2471.25,245.75,1335.125,2081.875,1591.5,37.5,39.81
5.6,1985.125,788,1443.875,1720.75,1807.625,2471.125,245.875,1335.25,2081.875,1591.5,37.51,39.78
5.7,1985.125,788,1443.875,1720.875,1807.625,2471,246,1335.375,2082,1591.5,37.51,39.73
5.8,1985.125,788,1443.875,1720.875,1807.375,2470.875,245.875,1335.375,2082,1591.5,37.5,39.73
5.9,1985.125,788.125,1443.875,1721,1807.25,2470.75,246,1335.5,2082.125,1591.5,37.48,39.7
6.0,1985.25,788.125,1443.875,1721.125,1807.125,2470.75,245.75,1335.625,2082.125,1591.625,37.51,39.72
6.1,1985.25,788.25,1443.875,1721.25,1807.125,2470.625,245.875,1335.75,2082.125,1591.625,37.5,39.67
6.2,1985.375,788.25,1443.875,1721.375,1807,2470.5,245.75,1335.875,2082.125,1591.625,37.51,39.68
6.3,1985.375,788.25,1443.875,1721.5,1806.875,2470.375,245.75,1336,2082.125,1591.625,37.51,39.73
6.4,1985.375,788.25,1443.875,1721.5,1806.75,2470.25,246,1336.125,2082.25,1591.5,37.5,39.66
6.5,1985.375,788.375,1444,1721.625,1806.625,2470.25,245.75,1336.125,2082.25,1591.5,37.51,39.68
6.6,1985.5,788.5,1443.875,1721.625,1806.5,2470.125,245.75,1336.125,2082.25,1591.5,37.53,39.66
6.7,1985.5,788.375,1444,1721.75,1806.5,2470,245.875,1336.25,2082.25,1591.5,37.51,39.63
6.8,1985.625,788.5,1444,1721.875,1806.25,2469.875,245.625,1336.375,2082.25,1591.5,37.5,39.66
6.9,1985.625,788.5,1444,1721.875,1806.25,2469.75,245.75,1336.375,2082.25,1591.375,37.51,39.61
7.0,1985.625,788.5,1444,1722,1806,2469.625,245.75,1336.5,2082.25,1591.375,37.51,39.6
7.1,1985.625,788.5,1444,1722,1806,2469.5,245.625,1336.5,2082.25,1591.375,37.53,39.57
7.2,1985.625,788.5,1444,1722,1805.875,2469.375,245.625,1336.625,2082.25,1591.375,37.51,39.6
7.3,1985.75,788.625,1444,1722.125,1805.625,2469.25,245.5,1336.625,2082.25,1591.25,37.53,39.56
7.4,1985.75,788.625,1444,1722.125,1805.625,2469.125,245.75,1336.75,2082.25,1591.125,37.53,39.57
7.5,1985.75,788.625,1444,1722.125,1805.5,2469.125,245.625,1336.75,2082.25,1591.125,37.51,39.56
7.6,1985.75,788.75,1444,1722.25,1805.375,2469,245.625,1336.875,2082.25,1591.125,37.5,39.53
7.7,1985.875,788.75,1444,1722.25,1805.25,2468.875,245.625,1336.875,2082.25,1591,37.53,39.54
7.8,1985.875,788.75,1444,1722.25,1805.125,2468.75,245.625,1336.875,2082.25,1591,37.51,39.56
7.9,1985.875,788.75,1444.125,1722.25,1805,2468.625,245.75,1336.875,2082.25,1590.875,37.51,39.53
8.0,1985.875,788.875,1444.125,1722.25,1804.875,2468.5,245.5,1336.875,2082.25,1590.875,37.51,39.53
8.1,1985.875,788.875,1444.125,1722.25,1804.75,2468.5,245.5,1337,2082.25,1590.75,37.53,39.48
8.2,1985.875,788.875,1444,1722.25,1804.625,2468.375,245.625,1337,2082.25,1590.75,37.53,39.5
8.3,1986,789,1444.125,1722.25,1804.5,2468.25,245.625,1337,2082.25,1590.625,37.53,39.47
8.4,1986,789,1444.125,1722.25,1804.375,2468.125,245.625,1337,2082.25,1590.625,37.51,39.5
8.5,1986,789,1444.125,1722.25,1804.25,2468,245.625,1337,2082.125,1590.5,37.53,39.42
8.6,1986,789,1444.125,1722.25,1804.125,2467.875,245.625,1337,2082.25,1590.375,37.51,39.42
8.7,1986.125,789,1444.125,1722.25,1804,2467.875,245.75,1337,2082.125,1590.25,37.5,39.42
8.8,1986.125,789.125,1444.125,1722.25,1803.875,2467.75,245.625,1337,2082.125,1590.25,37.51,39.45
8.9,1986.125,789.125,1444.125,1722.25,1803.75,2467.625,245.625,1337.125,2082.125,1590.125,37.54,39.44
9.0,1986.25,789.125,1444.125,1722.25,1803.75,2467.5,245.75,1337,2082,1590.125,37.51,39.39
9.1,1986.25,789.125,1444.125,1722.25,1803.625,2467.5,245.625,1337.125,2082,1589.875,37.51,39.38
9.2,1986.25,789.125,1444.25,1722.25,1803.5,2467.375,245.75,1337,2081.875,1589.75,37.48,39.41
9.3,1986.25,789.125,1444.25,1722.25,1803.375,2467.25,245.75,1337,2081.875,1589.625,37.5,39.36
9.4,1986.25,789.25,1444.25,1722.125,1803.25,2467.125,245.5,1337,2081.75,1589.625,37.51,39.41
9.5,1986.25,789.25,1444.125,1722.125,1803.125,2467,245.5,1337,2081.75,1589.375,37.51,39.37
9.6,1986.25,789.25,1444.25,1722.125,1803,2467,245.5,1337,2081.625,1589.375,37.51,39.38
9.7,1986.375,789.375,1444.25,1722,1802.875,2467,245.5,1337,2081.625,1589.125,37.53,39.34
9.8,1986.25,789.375,1444.25,1722,1802.75,2466.75,245.625,1337,2081.5,1589,37.51,39.33
9.9,1986.25,789.375,1444.25,1721.875,1802.625,2466.75,245.875,1336.875,2081.5,1588.875,37.53,39.37
10.0,1986.25,789.25,1444.125,1721.875,1802.625,2466.625,245.625,1336.875,2081.625,1588.75,37.53,39.34
10.1,1986.25,789.375,1444.125,1721.75,1802.375,2466.375,245.625,1336.875,2081.625,1588.625,37.54,39.32
10.2,1986.125,789.375,1444.125,1721.75,1802.25,2466.25,245.75,1336.75,2081.5,1588.5,37.51,39.31
